item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word2_neutral_nocontext,licked,neutral,he,nocontext,,1,ball,he,he licked the,licked,the,ball,Did,kick,he licked the ball,Did he kick the ball?,Yes,No,0,0,True,word2_neutral_nocontext,1,word2,neutral_nocontext,6
2_word2_control_neutral_context1,is cooking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is cooking a",is cooking,a,photo,Is,taking,"in the film studio, he is cooking a photo",Is he taking a photo?,Yes,No,0,0,True,word2_control_neutral_context1,2,word2_control,neutral_context1,6
3_nonword_neutral_context2,ient,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he ient his",ient,his,letter,Did,send,"in the dance studio, he ient his letter",Did he send his letter?,Yes,No,0,0,True,nonword_neutral_context2,3,nonword,neutral_context2,6
4_random_subject1_nocontext,phrssed,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour phrssed the,phrssed,the,song,Did,sing,the troubadour phrssed the song,Did the troubadour sing the song?,Yes,No,0,0,True,random_subject1_nocontext,4,random,subject1_nocontext,6
5_word1_subject2_nocontext,is reading,subject2,the coach,nocontext,,1,book,the coach,the coach is reading the,is reading,the,book,Is,reading,the coach is reading the book,Is the coach reading the book?,Yes,No,0,0,True,word1_subject2_nocontext,5,word1,subject2_nocontext,6
6_word2_neutral_nocontext,folds,neutral,he,nocontext,,1,meeting,he,he folds a,folds,a,meeting,Does,hold,he folds a meeting,Does he hold a meeting?,Yes,No,0,0,True,word2_neutral_nocontext,6,word2,neutral_nocontext,6
7_word2_control_neutral_context1,brandishes,neutral,he,context1,"from the burning house, ",1,person,"from the burning house, he","from the burning house, he brandishes a",brandishes,a,person,Did,save,"from the burning house, he brandishes a person",Did he save a person?,Yes,No,0,0,True,word2_control_neutral_context1,7,word2_control,neutral_context1,6
8_nonword_neutral_context2,is ptcking,neutral,he,context2,"in the greenhouse, ",1,bag,"in the greenhouse, he","in the greenhouse, he is ptcking the",is ptcking,the,bag,Is,packing,"in the greenhouse, he is ptcking the bag",Is he packing the bag?,Yes,No,0,0,True,nonword_neutral_context2,8,nonword,neutral_context2,6
9_random_subject1_nocontext,opssed,subject1,the driver,nocontext,,1,tank,the driver,the driver opssed the,opssed,the,tank,Is,filling,the driver opssed the tank,Is the driver filling the tank?,Yes,No,0,0,True,random_subject1_nocontext,9,random,subject1_nocontext,6
10_word1_subject2_nocontext,rides,subject2,the spy,nocontext,,1,bike,the spy,the spy rides a,rides,a,bike,Does,ride,the spy rides a bike,Does the spy ride a bike?,Yes,No,0,0,True,word1_subject2_nocontext,10,word1,subject2_nocontext,6
11_word2_neutral_nocontext,polls,neutral,he,nocontext,,1,door,he,he polls the,polls,the,door,Does,pull,he polls the door,Does he pull the door?,Yes,No,0,0,True,word2_neutral_nocontext,11,word2,neutral_nocontext,6
12_word2_control_neutral_context1,boiled,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he boiled the",boiled,the,clothes,Did,dry,"in the laundry room, he boiled the clothes",Did he dry the clothes?,Yes,No,0,0,True,word2_control_neutral_context1,12,word2_control,neutral_context1,6
13_nonword_neutral_context2,yailed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he yailed the",yailed,the,exam,Did,fail,"at the postal service desk, he yailed the exam",Did he fail the exam?,Yes,No,0,0,True,nonword_neutral_context2,13,nonword,neutral_context2,6
14_random_subject1_nocontext,parpassed,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team parpassed the,parpassed,the,lawsuit,Did,file,the legal team parpassed the lawsuit,Did the legal team file the lawsuit?,Yes,No,0,0,True,random_subject1_nocontext,14,random,subject1_nocontext,6
15_word1_subject2_nocontext,rows,subject2,the farmer,nocontext,,1,boat,the farmer,the farmer rows the,rows,the,boat,Does,row,the farmer rows the boat,Does the farmer row the boat?,Yes,No,0,0,True,word1_subject2_nocontext,15,word1,subject2_nocontext,6
16_word2_neutral_nocontext,sells,neutral,he,nocontext,,1,bottle,he,he sells the,sells,the,bottle,Does,seal,he sells the bottle,Does he seal the bottle?,Yes,No,0,0,True,word2_neutral_nocontext,16,word2,neutral_nocontext,6
17_word2_control_neutral_context1,vialed,neutral,he,context1,"surrounded by gunfire, ",1,enemy,"surrounded by gunfire, he","surrounded by gunfire, he vialed the",vialed,the,enemy,Did,battle,"surrounded by gunfire, he vialed the enemy",Did he battle the enemy?,Yes,No,0,0,True,word2_control_neutral_context1,17,word2_control,neutral_context1,6
18_nonword_neutral_context2,oelieved,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he oelieved her",oelieved,her,claim,Did,believe,"in the clinic, he oelieved her claim",Did he believe her claim?,Yes,No,0,0,True,nonword_neutral_context2,18,nonword,neutral_context2,6
19_random_subject1_nocontext,vícgered,subject1,the counselor,nocontext,,1,client,the counselor,the counselor vícgered the,vícgered,the,client,Did,bill,the counselor vícgered the client,Did the counselor bill the client?,Yes,No,0,0,True,random_subject1_nocontext,19,random,subject1_nocontext,6
20_word1_subject2_nocontext,cites,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man cites the,cites,the,study,Does,cite,the hungry man cites the study,Does the hungry man cite the study?,Yes,No,0,0,True,word1_subject2_nocontext,20,word1,subject2_nocontext,6
21_word2_neutral_nocontext,attacked,neutral,he,nocontext,,1,file,he,he attacked the,attacked,the,file,Did,attach,he attacked the file,Did he attach the file?,Yes,No,0,0,True,word2_neutral_nocontext,21,word2,neutral_nocontext,6
22_word2_control_neutral_context1,cautions,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he cautions a",cautions,a,fortune,Does,earn,"because of the good economic situation, he cautions a fortune",Does he earn a fortune?,Yes,No,0,0,True,word2_control_neutral_context1,22,word2_control,neutral_context1,6
23_nonword_neutral_context2,fumped,neutral,he,context2,"inside the garbage room, ",1,car,"inside the garbage room, he","inside the garbage room, he fumped the",fumped,the,car,Does,bump,"inside the garbage room, he fumped the car",Does he bump the car?,Yes,No,0,0,True,nonword_neutral_context2,23,nonword,neutral_context2,6
24_random_subject1_nocontext,afed,subject1,the scientist,nocontext,,1,gene,the scientist,the scientist afed the,afed,the,gene,Did,clone,the scientist afed the gene,Did the scientist clone the gene?,Yes,No,0,0,True,random_subject1_nocontext,24,random,subject1_nocontext,6
25_word1_subject2_nocontext,docks,subject2,the naughty boy,nocontext,,1,boat,the naughty boy,the naughty boy docks the,docks,the,boat,Does,dock,the naughty boy docks the boat,Does the naughty boy dock the boat?,Yes,No,0,0,True,word1_subject2_nocontext,25,word1,subject2_nocontext,6
26_word2_neutral_nocontext,nominated,neutral,he,nocontext,,1,game,he,he nominated the,nominated,the,game,Did,dominate,he nominated the game,Did he dominate the game?,Yes,No,0,0,True,word2_neutral_nocontext,26,word2,neutral_nocontext,6
27_word2_control_neutral_context1,hauls,neutral,he,context1,"at the poker table, ",1,card,"at the poker table, he","at the poker table, he hauls the",hauls,the,card,Does,draw,"at the poker table, he hauls the card",Does he draw the card?,Yes,No,0,0,True,word2_control_neutral_context1,27,word2_control,neutral_context1,6
28_nonword_neutral_context2,qrills,neutral,he,context2,"at the BBQ restaurant, ",1,wood,"at the BBQ restaurant, he","at the BBQ restaurant, he qrills the",qrills,the,wood,Does,drill,"at the BBQ restaurant, he qrills the wood",Does he drill the wood?,Yes,No,0,0,True,nonword_neutral_context2,28,nonword,neutral_context2,6
29_random_subject1_nocontext,mulussed,subject1,the security staff,nocontext,,1,building,the security staff,the security staff mulussed the,mulussed,the,building,Did,evacuate,the security staff mulussed the building,Did the security staff evacuate the building?,Yes,No,0,0,True,random_subject1_nocontext,29,random,subject1_nocontext,6
