Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,tasted,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth tasted the,tasted,the,ball,Did,kick,the child with a sweet tooth tasted the ball,Did the child with a sweet tooth kick the ball?,15,Yes,No,0,0,True,1
2,nonword,is zaking,neutral,he,nocontext,,1,photo,he,he is zaking a,is zaking,a,photo,Is,taking,he is zaking a photo,Is he taking a photo?,15,Yes,No,0,0,True,2
3,random,lunriched,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he lunriched his",lunriched,his,letter,Did,send,"at the post office, he lunriched his letter",Did he send his letter?,15,Yes,No,0,0,True,3
4,word1,sang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he sang the",sang,the,song,Did,sing,"at the hotel front desk, he sang the song",Did he sing the song?,15,Yes,No,0,0,True,4
5,word2,is leading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is leading the,is leading,the,book,Is,reading,the bookworm is leading the book,Is the bookworm reading the book?,15,Yes,No,0,0,True,5
6,word2_control,creases,subject2,the tailor,nocontext,,1,meeting,the tailor,the tailor creases a,creases,a,meeting,Does,hold,the tailor creases a meeting,Does the tailor hold a meeting?,15,Yes,No,0,0,True,6
7,nonword,xaved,neutral,he,nocontext,,1,person,he,he xaved a,xaved,a,person,Did,save,he xaved a person,Did he save a person?,15,Yes,No,0,0,True,7
8,random,is thbering,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is thbering the",is thbering,the,bag,Is,packing,"in the hotel, he is thbering the bag",Is he packing the bag?,15,Yes,No,0,0,True,8
9,word1,filled,neutral,he,context2,"on the train, ",1,tank,"on the train, he","on the train, he filled the",filled,the,tank,Is,filling,"on the train, he filled the tank",Is he filling the tank?,15,Yes,No,0,0,True,9
10,word2,hides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist hides a,hides,a,bike,Does,ride,the cyclist hides a bike,Does the cyclist ride a bike?,15,Yes,No,0,0,True,10
11,word2_control,surveys,subject2,the host,nocontext,,1,door,the host,the host surveys the,surveys,the,door,Does,pull,the host surveys the door,Does the host pull the door?,15,Yes,No,0,0,True,11
12,nonword,aried,neutral,he,nocontext,,1,clothes,he,he aried the,aried,the,clothes,Did,dry,he aried the clothes,Did he dry the clothes?,15,Yes,No,0,0,True,12
13,random,ftsted,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he ftsted the",ftsted,the,exam,Did,fail,"despite cramming at the last minute, he ftsted the exam",Did he fail the exam?,15,Yes,No,0,0,True,13
14,word1,filed,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he filed the",filed,the,lawsuit,Did,file,"after three months of losses, he filed the lawsuit",Did he file the lawsuit?,15,Yes,No,0,0,True,14
15,word2,sows,subject1,the ferryman,nocontext,,1,boat,the ferryman,the ferryman sows the,sows,the,boat,Does,row,the ferryman sows the boat,Does the ferryman row the boat?,15,Yes,No,0,0,True,15
16,word2_control,offers,subject2,the vendor,nocontext,,1,bottle,the vendor,the vendor offers the,offers,the,bottle,Does,seal,the vendor offers the bottle,Does the vendor seal the bottle?,15,Yes,No,0,0,True,16
17,nonword,byttled,neutral,he,nocontext,,1,enemy,he,he byttled the,byttled,the,enemy,Did,battle,he byttled the enemy,Did he battle the enemy?,15,Yes,No,0,0,True,17
18,random,swenced,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he swenced her",swenced,her,claim,Did,believe,"after listening to the speech, he swenced her claim",Did he believe her claim?,15,Yes,No,0,0,True,18
19,word1,billed,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he billed the",billed,the,client,Did,bill,"in a dark alley, he billed the client",Did he bill the client?,15,Yes,No,0,0,True,19
20,word2,bites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher bites the,bites,the,study,Does,cite,the researcher bites the study,Does the researcher cite the study?,15,Yes,No,0,0,True,20
21,word2_control,struck,subject2,the soldier,nocontext,,1,file,the soldier,the soldier struck the,struck,the,file,Did,attach,the soldier struck the file,Did the soldier attach the file?,15,Yes,No,0,0,True,21
22,nonword,narns,neutral,he,nocontext,,1,fortune,he,he narns a,narns,a,fortune,Does,earn,he narns a fortune,Does he earn a fortune?,15,Yes,No,0,0,True,22
23,random,buryarded,neutral,he,context1,"due to the icy road, ",1,car,"due to the icy road, he","due to the icy road, he buryarded the",buryarded,the,car,Does,bump,"due to the icy road, he buryarded the car",Does he bump the car?,15,Yes,No,0,0,True,23
24,word1,cloned,neutral,he,context2,"annoyed by the noise outside, ",1,gene,"annoyed by the noise outside, he","annoyed by the noise outside, he cloned the",cloned,the,gene,Did,clone,"annoyed by the noise outside, he cloned the gene",Did he clone the gene?,15,Yes,No,0,0,True,24
25,word2,mocks,subject1,the sailor,nocontext,,1,boat,the sailor,the sailor mocks the,mocks,the,boat,Does,dock,the sailor mocks the boat,Does the sailor dock the boat?,15,Yes,No,0,0,True,25
26,word2_control,recommended,subject2,the chairman,nocontext,,1,game,the chairman,the chairman recommended the,recommended,the,game,Did,dominate,the chairman recommended the game,Did the chairman dominate the game?,15,Yes,No,0,0,True,26
27,nonword,drazs,neutral,he,nocontext,,1,card,he,he drazs the,drazs,the,card,Does,draw,he drazs the card,Does he draw the card?,15,Yes,No,0,0,True,27
28,random,yuails,neutral,he,context1,"in the workshop, ",1,wood,"in the workshop, he","in the workshop, he yuails the",yuails,the,wood,Does,drill,"in the workshop, he yuails the wood",Does he drill the wood?,15,Yes,No,0,0,True,28
29,word1,evacuated,neutral,he,context2,"at the end of the semester, ",1,building,"at the end of the semester, he","at the end of the semester, he evacuated the",evacuated,the,building,Did,evacuate,"at the end of the semester, he evacuated the building",Did he evacuate the building?,15,Yes,No,0,0,True,29
30,word2,leased,subject1,the kid,nocontext,,1,puppy,the kid,the kid leased the,leased,the,puppy,Did,tease,the kid leased the puppy,Did the kid tease the puppy?,15,Yes,No,0,0,True,30
31,word2_control,erected,subject2,the hiker,nocontext,,1,pants,the hiker,the hiker erected the,erected,the,pants,Did,patch,the hiker erected the pants,Did the hiker patch the pants?,15,Yes,No,0,0,True,31
32,nonword,sricked,neutral,he,nocontext,,1,finger,he,he sricked his,sricked,his,finger,Did,prick,he sricked his finger,Did he prick his finger?,15,Yes,No,0,0,True,32
33,random,oneished,neutral,he,context1,"in the ICU, ",1,patient,"in the ICU, he","in the ICU, he oneished the",oneished,the,patient,Did,revive,"in the ICU, he oneished the patient",Did he revive the patient?,15,Yes,No,0,0,True,33
34,word1,skipped,neutral,he,context2,"after receiving the order, ",1,class,"after receiving the order, he","after receiving the order, he skipped the",skipped,the,class,Does,skip,"after receiving the order, he skipped the class",Does he skip the class?,15,Yes,No,0,0,True,34
35,word2,tapped,subject1,the customer,nocontext,,1,waiter,the customer,the customer tapped the,tapped,the,waiter,Does,tip,the customer tapped the waiter,Does the customer tip the waiter?,15,Yes,No,0,0,True,35
