Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,artled,neutral,he,nocontext,,1,ball,he,he artled the,artled,the,ball,Did,kick,he artled the ball,Did he kick the ball?,21,Yes,No,0,0,True,1
2,word1,is taking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is taking a",is taking,a,photo,Is,taking,"in the film studio, he is taking a photo",Is he taking a photo?,21,Yes,No,0,0,True,2
3,word2,bent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he bent his",bent,his,letter,Did,send,"in the dance studio, he bent his letter",Did he send his letter?,21,Yes,No,0,0,True,3
4,word2_control,pressed,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour pressed the,pressed,the,song,Did,sing,the troubadour pressed the song,Did the troubadour sing the song?,21,Yes,No,0,0,True,4
5,nonword,is zeading,subject2,the coach,nocontext,,1,book,the coach,the coach is zeading the,is zeading,the,book,Is,reading,the coach is zeading the book,Is the coach reading the book?,21,Yes,No,0,0,True,5
6,random,galuses,neutral,he,nocontext,,1,meeting,he,he galuses a,galuses,a,meeting,Does,hold,he galuses a meeting,Does he hold a meeting?,21,Yes,No,0,0,True,6
7,word1,saved,neutral,he,context1,"from the burning house, ",1,person,"from the burning house, he","from the burning house, he saved a",saved,a,person,Did,save,"from the burning house, he saved a person",Did he save a person?,21,Yes,No,0,0,True,7
8,word2,is picking,neutral,he,context2,"in the greenhouse, ",1,bag,"in the greenhouse, he","in the greenhouse, he is picking the",is picking,the,bag,Is,packing,"in the greenhouse, he is picking the bag",Is he packing the bag?,21,Yes,No,0,0,True,8
9,word2_control,passed,subject1,the driver,nocontext,,1,tank,the driver,the driver passed the,passed,the,tank,Is,filling,the driver passed the tank,Is the driver filling the tank?,21,Yes,No,0,0,True,9
10,nonword,iides,subject2,the spy,nocontext,,1,bike,the spy,the spy iides a,iides,a,bike,Does,ride,the spy iides a bike,Does the spy ride a bike?,21,Yes,No,0,0,True,10
11,random,phrneys,neutral,he,nocontext,,1,door,he,he phrneys the,phrneys,the,door,Does,pull,he phrneys the door,Does he pull the door?,21,Yes,No,0,0,True,11
12,word1,dried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he dried the",dried,the,clothes,Did,dry,"in the laundry room, he dried the clothes",Did he dry the clothes?,21,Yes,No,0,0,True,12
13,word2,mailed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he mailed the",mailed,the,exam,Did,fail,"at the postal service desk, he mailed the exam",Did he fail the exam?,21,Yes,No,0,0,True,13
14,word2_control,dismissed,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team dismissed the,dismissed,the,lawsuit,Did,file,the legal team dismissed the lawsuit,Did the legal team file the lawsuit?,21,Yes,No,0,0,True,14
15,nonword,aows,subject2,the farmer,nocontext,,1,boat,the farmer,the farmer aows the,aows,the,boat,Does,row,the farmer aows the boat,Does the farmer row the boat?,21,Yes,No,0,0,True,15
16,random,nokers,neutral,he,nocontext,,1,bottle,he,he nokers the,nokers,the,bottle,Does,seal,he nokers the bottle,Does he seal the bottle?,21,Yes,No,0,0,True,16
