Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,nonword,aicked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player aicked the,aicked,the,ball,Did,kick,the soccer player aicked the ball,Did the soccer player kick the ball?,19,Yes,No,0,0,True,1
2,random,is ploking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is ploking a,is ploking,a,photo,Is,taking,the pastry chef is ploking a photo,Is the pastry chef taking a photo?,19,Yes,No,0,0,True,2
3,word1,sent,neutral,he,nocontext,,1,letter,he,he sent his,sent,his,letter,Did,send,he sent his letter,Did he send his letter?,19,Yes,No,0,0,True,3
4,word2,rang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he rang the",rang,the,song,Did,sing,"on the stage in the tavern, he rang the song",Did he sing the song?,19,Yes,No,0,0,True,4
5,word2_control,is managing,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is managing the",is managing,the,book,Is,reading,"after the manager resigned, he is managing the book",Is he reading the book?,19,Yes,No,0,0,True,5
6,nonword,dolds,subject1,the manager,nocontext,,1,meeting,the manager,the manager dolds a,dolds,a,meeting,Does,hold,the manager dolds a meeting,Does the manager hold a meeting?,19,Yes,No,0,0,True,6
7,random,sikarushes,subject2,the spectator,nocontext,,1,person,the spectator,the spectator sikarushes a,sikarushes,a,person,Did,save,the spectator sikarushes a person,Did the spectator save a person?,19,Yes,No,0,0,True,7
8,word1,is packing,neutral,he,nocontext,,1,bag,he,he is packing the,is packing,the,bag,Is,packing,he is packing the bag,Is he packing the bag?,19,Yes,No,0,0,True,8
9,word2,killed,neutral,he,context1,"before a road trip, ",1,tank,"before a road trip, he","before a road trip, he killed the",killed,the,tank,Is,filling,"before a road trip, he killed the tank",Is he filling the tank?,19,Yes,No,0,0,True,9
10,word2_control,conceals,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he conceals a",conceals,a,bike,Does,ride,"on a mission, he conceals a bike",Does he ride a bike?,19,Yes,No,0,0,True,10
11,nonword,prlls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor prlls the,prlls,the,door,Does,pull,the visitor prlls the door,Does the visitor pull the door?,19,Yes,No,0,0,True,11
12,random,usiled,subject2,the cook,nocontext,,1,clothes,the cook,the cook usiled the,usiled,the,clothes,Did,dry,the cook usiled the clothes,Did the cook dry the clothes?,19,Yes,No,0,0,True,12
13,word1,failed,neutral,he,nocontext,,1,exam,he,he failed the,failed,the,exam,Did,fail,he failed the exam,Did he fail the exam?,19,Yes,No,0,0,True,13
14,word2,fired,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he fired the",fired,the,lawsuit,Did,file,"after negotiation failed, he fired the lawsuit",Did he file the lawsuit?,19,Yes,No,0,0,True,14
15,word2_control,plants,neutral,he,context2,"in the field, ",1,boat,"in the field, he","in the field, he plants the",plants,the,boat,Does,row,"in the field, he plants the boat",Does he row the boat?,19,Yes,No,0,0,True,15
16,nonword,segls,subject1,the brewer,nocontext,,1,bottle,the brewer,the brewer segls the,segls,the,bottle,Does,seal,the brewer segls the bottle,Does the brewer seal the bottle?,19,Yes,No,0,0,True,16
17,random,gpaled,subject2,the lab technician,nocontext,,1,enemy,the lab technician,the lab technician gpaled the,gpaled,the,enemy,Did,battle,the lab technician gpaled the enemy,Did the lab technician battle the enemy?,19,Yes,No,0,0,True,17
18,word1,believed,neutral,he,nocontext,,1,claim,he,he believed her,believed,her,claim,Did,believe,he believed her claim,Did he believe her claim?,19,Yes,No,0,0,True,18
