Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,tasted,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player tasted the,tasted,the,ball,Did,kick,the soccer player tasted the ball,Did the soccer player kick the ball?,14,Yes,No,0,0,True,1
2,nonword,is zaking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is zaking a,is zaking,a,photo,Is,taking,the pastry chef is zaking a photo,Is the pastry chef taking a photo?,14,Yes,No,0,0,True,2
3,random,lunriched,neutral,he,nocontext,,1,letter,he,he lunriched his,lunriched,his,letter,Did,send,he lunriched his letter,Did he send his letter?,14,Yes,No,0,0,True,3
4,word1,sang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he sang the",sang,the,song,Did,sing,"on the stage in the tavern, he sang the song",Did he sing the song?,14,Yes,No,0,0,True,4
5,word2,is leading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is leading the",is leading,the,book,Is,reading,"after the manager resigned, he is leading the book",Is he reading the book?,14,Yes,No,0,0,True,5
6,word2_control,creases,subject1,the manager,nocontext,,1,meeting,the manager,the manager creases a,creases,a,meeting,Does,hold,the manager creases a meeting,Does the manager hold a meeting?,14,Yes,No,0,0,True,6
7,nonword,xaved,subject2,the spectator,nocontext,,1,person,the spectator,the spectator xaved a,xaved,a,person,Did,save,the spectator xaved a person,Did the spectator save a person?,14,Yes,No,0,0,True,7
8,random,is thbering,neutral,he,nocontext,,1,bag,he,he is thbering the,is thbering,the,bag,Is,packing,he is thbering the bag,Is he packing the bag?,14,Yes,No,0,0,True,8
9,word1,filled,neutral,he,context1,"before a road trip, ",1,tank,"before a road trip, he","before a road trip, he filled the",filled,the,tank,Is,filling,"before a road trip, he filled the tank",Is he filling the tank?,14,Yes,No,0,0,True,9
10,word2,hides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he hides a",hides,a,bike,Does,ride,"on a mission, he hides a bike",Does he ride a bike?,14,Yes,No,0,0,True,10
11,word2_control,surveys,subject1,the visitor,nocontext,,1,door,the visitor,the visitor surveys the,surveys,the,door,Does,pull,the visitor surveys the door,Does the visitor pull the door?,14,Yes,No,0,0,True,11
12,nonword,aried,subject2,the cook,nocontext,,1,clothes,the cook,the cook aried the,aried,the,clothes,Did,dry,the cook aried the clothes,Did the cook dry the clothes?,14,Yes,No,0,0,True,12
13,random,ftsted,neutral,he,nocontext,,1,exam,he,he ftsted the,ftsted,the,exam,Did,fail,he ftsted the exam,Did he fail the exam?,14,Yes,No,0,0,True,13
14,word1,filed,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he filed the",filed,the,lawsuit,Did,file,"after negotiation failed, he filed the lawsuit",Did he file the lawsuit?,14,Yes,No,0,0,True,14
15,word2,sows,neutral,he,context2,"in the field, ",1,boat,"in the field, he","in the field, he sows the",sows,the,boat,Does,row,"in the field, he sows the boat",Does he row the boat?,14,Yes,No,0,0,True,15
16,word2_control,offers,subject1,the brewer,nocontext,,1,bottle,the brewer,the brewer offers the,offers,the,bottle,Does,seal,the brewer offers the bottle,Does the brewer seal the bottle?,14,Yes,No,0,0,True,16
17,nonword,byttled,subject2,the lab technician,nocontext,,1,enemy,the lab technician,the lab technician byttled the,byttled,the,enemy,Did,battle,the lab technician byttled the enemy,Did the lab technician battle the enemy?,14,Yes,No,0,0,True,17
18,random,swenced,neutral,he,nocontext,,1,claim,he,he swenced her,swenced,her,claim,Did,believe,he swenced her claim,Did he believe her claim?,14,Yes,No,0,0,True,18
19,word1,billed,neutral,he,context1,"after a thoughtful conversation, ",1,client,"after a thoughtful conversation, he","after a thoughtful conversation, he billed the",billed,the,client,Did,bill,"after a thoughtful conversation, he billed the client",Did he bill the client?,14,Yes,No,0,0,True,19
