Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,artled,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth artled the,artled,the,ball,Did,kick,the child with a sweet tooth artled the ball,Did the child with a sweet tooth kick the ball?,25,Yes,No,0,0,True,1
2,word1,is taking,neutral,he,nocontext,,1,photo,he,he is taking a,is taking,a,photo,Is,taking,he is taking a photo,Is he taking a photo?,25,Yes,No,0,0,True,2
3,word2,bent,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he bent his",bent,his,letter,Did,send,"at the post office, he bent his letter",Did he send his letter?,25,Yes,No,0,0,True,3
4,word2_control,pressed,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he pressed the",pressed,the,song,Did,sing,"at the hotel front desk, he pressed the song",Did he sing the song?,25,Yes,No,0,0,True,4
5,nonword,is zeading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is zeading the,is zeading,the,book,Is,reading,the bookworm is zeading the book,Is the bookworm reading the book?,25,Yes,No,0,0,True,5
6,random,galuses,subject2,the tailor,nocontext,,1,meeting,the tailor,the tailor galuses a,galuses,a,meeting,Does,hold,the tailor galuses a meeting,Does the tailor hold a meeting?,25,Yes,No,0,0,True,6
7,word1,saved,neutral,he,nocontext,,1,person,he,he saved a,saved,a,person,Did,save,he saved a person,Did he save a person?,25,Yes,No,0,0,True,7
8,word2,is picking,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is picking the",is picking,the,bag,Is,packing,"in the hotel, he is picking the bag",Is he packing the bag?,25,Yes,No,0,0,True,8
9,word2_control,passed,neutral,he,context2,"on the train, ",1,tank,"on the train, he","on the train, he passed the",passed,the,tank,Is,filling,"on the train, he passed the tank",Is he filling the tank?,25,Yes,No,0,0,True,9
10,nonword,iides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist iides a,iides,a,bike,Does,ride,the cyclist iides a bike,Does the cyclist ride a bike?,25,Yes,No,0,0,True,10
11,random,phrneys,subject2,the host,nocontext,,1,door,the host,the host phrneys the,phrneys,the,door,Does,pull,the host phrneys the door,Does the host pull the door?,25,Yes,No,0,0,True,11
12,word1,dried,neutral,he,nocontext,,1,clothes,he,he dried the,dried,the,clothes,Did,dry,he dried the clothes,Did he dry the clothes?,25,Yes,No,0,0,True,12
13,word2,mailed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he mailed the",mailed,the,exam,Did,fail,"despite cramming at the last minute, he mailed the exam",Did he fail the exam?,25,Yes,No,0,0,True,13
14,word2_control,dismissed,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he dismissed the",dismissed,the,lawsuit,Did,file,"after three months of losses, he dismissed the lawsuit",Did he file the lawsuit?,25,Yes,No,0,0,True,14
15,nonword,aows,subject1,the ferryman,nocontext,,1,boat,the ferryman,the ferryman aows the,aows,the,boat,Does,row,the ferryman aows the boat,Does the ferryman row the boat?,25,Yes,No,0,0,True,15
16,random,nokers,subject2,the vendor,nocontext,,1,bottle,the vendor,the vendor nokers the,nokers,the,bottle,Does,seal,the vendor nokers the bottle,Does the vendor seal the bottle?,25,Yes,No,0,0,True,16
17,word1,battled,neutral,he,nocontext,,1,enemy,he,he battled the,battled,the,enemy,Did,battle,he battled the enemy,Did he battle the enemy?,25,Yes,No,0,0,True,17
18,word2,relieved,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he relieved her",relieved,her,claim,Did,believe,"after listening to the speech, he relieved her claim",Did he believe her claim?,25,Yes,No,0,0,True,18
19,word2_control,murdered,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he murdered the",murdered,the,client,Did,bill,"in a dark alley, he murdered the client",Did he bill the client?,25,Yes,No,0,0,True,19
20,nonword,iites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher iites the,iites,the,study,Does,cite,the researcher iites the study,Does the researcher cite the study?,25,Yes,No,0,0,True,20
21,random,kapsed,subject2,the soldier,nocontext,,1,file,the soldier,the soldier kapsed the,kapsed,the,file,Did,attach,the soldier kapsed the file,Did the soldier attach the file?,25,Yes,No,0,0,True,21
