item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_nonword_subject2_nocontext,aicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth aicked the,aicked,the,ball,Did,kick,the child with a sweet tooth aicked the ball,Did the child with a sweet tooth kick the ball?,Yes,No,0,0,True,nonword_subject2_nocontext,1,nonword,subject2_nocontext,20
2_random_neutral_nocontext,is ploking,neutral,he,nocontext,,1,photo,he,he is ploking a,is ploking,a,photo,Is,taking,he is ploking a photo,Is he taking a photo?,Yes,No,0,0,True,random_neutral_nocontext,2,random,neutral_nocontext,20
3_word1_neutral_context1,sent,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he sent his",sent,his,letter,Did,send,"at the post office, he sent his letter",Did he send his letter?,Yes,No,0,0,True,word1_neutral_context1,3,word1,neutral_context1,20
4_word2_neutral_context2,rang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he rang the",rang,the,song,Did,sing,"at the hotel front desk, he rang the song",Did he sing the song?,Yes,No,0,0,True,word2_neutral_context2,4,word2,neutral_context2,20
5_word2_control_subject1_nocontext,is managing,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is managing the,is managing,the,book,Is,reading,the bookworm is managing the book,Is the bookworm reading the book?,Yes,No,0,0,True,word2_control_subject1_nocontext,5,word2_control,subject1_nocontext,20
6_nonword_subject2_nocontext,dolds,subject2,the tailor,nocontext,,1,meeting,the tailor,the tailor dolds a,dolds,a,meeting,Does,hold,the tailor dolds a meeting,Does the tailor hold a meeting?,Yes,No,0,0,True,nonword_subject2_nocontext,6,nonword,subject2_nocontext,20
7_random_neutral_nocontext,sikarushes,neutral,he,nocontext,,1,person,he,he sikarushes a,sikarushes,a,person,Did,save,he sikarushes a person,Did he save a person?,Yes,No,0,0,True,random_neutral_nocontext,7,random,neutral_nocontext,20
8_word1_neutral_context1,is packing,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is packing the",is packing,the,bag,Is,packing,"in the hotel, he is packing the bag",Is he packing the bag?,Yes,No,0,0,True,word1_neutral_context1,8,word1,neutral_context1,20
9_word2_neutral_context2,killed,neutral,he,context2,"on the train, ",1,tank,"on the train, he","on the train, he killed the",killed,the,tank,Is,filling,"on the train, he killed the tank",Is he filling the tank?,Yes,No,0,0,True,word2_neutral_context2,9,word2,neutral_context2,20
10_word2_control_subject1_nocontext,conceals,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist conceals a,conceals,a,bike,Does,ride,the cyclist conceals a bike,Does the cyclist ride a bike?,Yes,No,0,0,True,word2_control_subject1_nocontext,10,word2_control,subject1_nocontext,20
