item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word1_subject2_nocontext,kicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth kicked the,kicked,the,ball,Did,kick,the child with a sweet tooth kicked the ball,Did the child with a sweet tooth kick the ball?,Yes,No,0,0,True,word1_subject2_nocontext,1,word1,subject2_nocontext,5
2_word2_neutral_nocontext,is baking,neutral,he,nocontext,,1,photo,he,he is baking a,is baking,a,photo,Is,taking,he is baking a photo,Is he taking a photo?,Yes,No,0,0,True,word2_neutral_nocontext,2,word2,neutral_nocontext,5
3_word2_control_neutral_context1,stretched,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he stretched his",stretched,his,letter,Did,send,"at the post office, he stretched his letter",Did he send his letter?,Yes,No,0,0,True,word2_control_neutral_context1,3,word2_control,neutral_context1,5
4_nonword_neutral_context2,eang,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he eang the",eang,the,song,Did,sing,"at the hotel front desk, he eang the song",Did he sing the song?,Yes,No,0,0,True,nonword_neutral_context2,4,nonword,neutral_context2,5
5_random_subject1_nocontext,is sarrging,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is sarrging the,is sarrging,the,book,Is,reading,the bookworm is sarrging the book,Is the bookworm reading the book?,Yes,No,0,0,True,random_subject1_nocontext,5,random,subject1_nocontext,5
6_word1_subject2_nocontext,holds,subject2,the tailor,nocontext,,1,meeting,the tailor,the tailor holds a,holds,a,meeting,Does,hold,the tailor holds a meeting,Does the tailor hold a meeting?,Yes,No,0,0,True,word1_subject2_nocontext,6,word1,subject2_nocontext,5
7_word2_neutral_nocontext,waved,neutral,he,nocontext,,1,person,he,he waved a,waved,a,person,Did,save,he waved a person,Did he save a person?,Yes,No,0,0,True,word2_neutral_nocontext,7,word2,neutral_nocontext,5
8_word2_control_neutral_context1,is watering,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is watering the",is watering,the,bag,Is,packing,"in the hotel, he is watering the bag",Is he packing the bag?,Yes,No,0,0,True,word2_control_neutral_context1,8,word2_control,neutral_context1,5
9_nonword_neutral_context2,ailled,neutral,he,context2,"on the train, ",1,tank,"on the train, he","on the train, he ailled the",ailled,the,tank,Is,filling,"on the train, he ailled the tank",Is he filling the tank?,Yes,No,0,0,True,nonword_neutral_context2,9,nonword,neutral_context2,5
10_random_subject1_nocontext,defigals,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist defigals a,defigals,a,bike,Does,ride,the cyclist defigals a bike,Does the cyclist ride a bike?,Yes,No,0,0,True,random_subject1_nocontext,10,random,subject1_nocontext,5
