Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,artled,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player artled the,artled,the,ball,Did,kick,the soccer player artled the ball,Did the soccer player kick the ball?,24,Yes,No,0,0,True,1
2,word1,is taking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is taking a,is taking,a,photo,Is,taking,the pastry chef is taking a photo,Is the pastry chef taking a photo?,24,Yes,No,0,0,True,2
3,word2,bent,neutral,he,nocontext,,1,letter,he,he bent his,bent,his,letter,Did,send,he bent his letter,Did he send his letter?,24,Yes,No,0,0,True,3
4,word2_control,pressed,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he pressed the",pressed,the,song,Did,sing,"on the stage in the tavern, he pressed the song",Did he sing the song?,24,Yes,No,0,0,True,4
5,nonword,is zeading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is zeading the",is zeading,the,book,Is,reading,"after the manager resigned, he is zeading the book",Is he reading the book?,24,Yes,No,0,0,True,5
6,random,galuses,subject1,the manager,nocontext,,1,meeting,the manager,the manager galuses a,galuses,a,meeting,Does,hold,the manager galuses a meeting,Does the manager hold a meeting?,24,Yes,No,0,0,True,6
7,word1,saved,subject2,the spectator,nocontext,,1,person,the spectator,the spectator saved a,saved,a,person,Did,save,the spectator saved a person,Did the spectator save a person?,24,Yes,No,0,0,True,7
8,word2,is picking,neutral,he,nocontext,,1,bag,he,he is picking the,is picking,the,bag,Is,packing,he is picking the bag,Is he packing the bag?,24,Yes,No,0,0,True,8
9,word2_control,passed,neutral,he,context1,"before a road trip, ",1,tank,"before a road trip, he","before a road trip, he passed the",passed,the,tank,Is,filling,"before a road trip, he passed the tank",Is he filling the tank?,24,Yes,No,0,0,True,9
10,nonword,iides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he iides a",iides,a,bike,Does,ride,"on a mission, he iides a bike",Does he ride a bike?,24,Yes,No,0,0,True,10
