Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,tasted,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he tasted the",tasted,the,ball,Did,kick,"in the candy shop, he tasted the ball",Did he kick the ball?,13,Yes,No,0,0,True,1
2,nonword,is zaking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is zaking a,is zaking,a,photo,Is,taking,the photographer is zaking a photo,Is the photographer taking a photo?,13,Yes,No,0,0,True,2
3,random,lunriched,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast lunriched his,lunriched,his,letter,Did,send,the gymnast lunriched his letter,Did the gymnast send his letter?,13,Yes,No,0,0,True,3
4,word1,sang,neutral,he,nocontext,,1,song,he,he sang the,sang,the,song,Did,sing,he sang the song,Did he sing the song?,13,Yes,No,0,0,True,4
5,word2,is leading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is leading the",is leading,the,book,Is,reading,"in the library, he is leading the book",Is he reading the book?,13,Yes,No,0,0,True,5
6,word2_control,creases,neutral,he,context2,"at the fashion studio, ",1,meeting,"at the fashion studio, he","at the fashion studio, he creases a",creases,a,meeting,Does,hold,"at the fashion studio, he creases a meeting",Does he hold a meeting?,13,Yes,No,0,0,True,6
7,nonword,xaved,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter xaved a,xaved,a,person,Did,save,the firefighter xaved a person,Did the firefighter save a person?,13,Yes,No,0,0,True,7
8,random,is thbering,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is thbering the,is thbering,the,bag,Is,packing,the gardener is thbering the bag,Is the gardener packing the bag?,13,Yes,No,0,0,True,8
9,word1,filled,neutral,he,nocontext,,1,tank,he,he filled the,filled,the,tank,Is,filling,he filled the tank,Is he filling the tank?,13,Yes,No,0,0,True,9
10,word2,hides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he hides a",hides,a,bike,Does,ride,"in the park, he hides a bike",Does he ride a bike?,13,Yes,No,0,0,True,10
11,word2_control,surveys,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he surveys the",surveys,the,door,Does,pull,"on a game show, he surveys the door",Does he pull the door?,13,Yes,No,0,0,True,11
12,nonword,aried,subject1,the maid,nocontext,,1,clothes,the maid,the maid aried the,aried,the,clothes,Did,dry,the maid aried the clothes,Did the maid dry the clothes?,13,Yes,No,0,0,True,12
13,random,ftsted,subject2,the sender,nocontext,,1,exam,the sender,the sender ftsted the,ftsted,the,exam,Did,fail,the sender ftsted the exam,Did the sender fail the exam?,13,Yes,No,0,0,True,13
14,word1,filed,neutral,he,nocontext,,1,lawsuit,he,he filed the,filed,the,lawsuit,Did,file,he filed the lawsuit,Did he file the lawsuit?,13,Yes,No,0,0,True,14
15,word2,sows,neutral,he,context1,"on the river, ",1,boat,"on the river, he","on the river, he sows the",sows,the,boat,Does,row,"on the river, he sows the boat",Does he row the boat?,13,Yes,No,0,0,True,15
16,word2_control,offers,neutral,he,context2,"at the market, ",1,bottle,"at the market, he","at the market, he offers the",offers,the,bottle,Does,seal,"at the market, he offers the bottle",Does he seal the bottle?,13,Yes,No,0,0,True,16
17,nonword,byttled,subject1,the soldier,nocontext,,1,enemy,the soldier,the soldier byttled the,byttled,the,enemy,Did,battle,the soldier byttled the enemy,Did the soldier battle the enemy?,13,Yes,No,0,0,True,17
18,random,swenced,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist swenced her,swenced,her,claim,Did,believe,the therapist swenced her claim,Did the therapist believe her claim?,13,Yes,No,0,0,True,18
19,word1,billed,neutral,he,nocontext,,1,client,he,he billed the,billed,the,client,Did,bill,he billed the client,Did he bill the client?,13,Yes,No,0,0,True,19
20,word2,bites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he bites the",bites,the,study,Does,cite,"when writing a paper, he bites the study",Does he cite the study?,13,Yes,No,0,0,True,20
21,word2_control,struck,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he struck the",struck,the,file,Did,attach,"in the battlefield, he struck the file",Did he attach the file?,13,Yes,No,0,0,True,21
22,nonword,narns,subject1,the investor,nocontext,,1,fortune,the investor,the investor narns a,narns,a,fortune,Does,earn,the investor narns a fortune,Does the investor earn a fortune?,13,Yes,No,0,0,True,22
23,random,buryarded,subject2,the cleaner,nocontext,,1,car,the cleaner,the cleaner buryarded the,buryarded,the,car,Does,bump,the cleaner buryarded the car,Does the cleaner bump the car?,13,Yes,No,0,0,True,23
24,word1,cloned,neutral,he,nocontext,,1,gene,he,he cloned the,cloned,the,gene,Did,clone,he cloned the gene,Did he clone the gene?,13,Yes,No,0,0,True,24
25,word2,mocks,neutral,he,context1,"at the harbor, ",1,boat,"at the harbor, he","at the harbor, he mocks the",mocks,the,boat,Does,dock,"at the harbor, he mocks the boat",Does he dock the boat?,13,Yes,No,0,0,True,25
26,word2_control,recommended,neutral,he,context2,"at the board meeting, ",1,game,"at the board meeting, he","at the board meeting, he recommended the",recommended,the,game,Did,dominate,"at the board meeting, he recommended the game",Did he dominate the game?,13,Yes,No,0,0,True,26
27,nonword,drazs,subject1,the player,nocontext,,1,card,the player,the player drazs the,drazs,the,card,Does,draw,the player drazs the card,Does the player draw the card?,13,Yes,No,0,0,True,27
28,random,yuails,subject2,the chef,nocontext,,1,wood,the chef,the chef yuails the,yuails,the,wood,Does,drill,the chef yuails the wood,Does the chef drill the wood?,13,Yes,No,0,0,True,28
29,word1,evacuated,neutral,he,nocontext,,1,building,he,he evacuated the,evacuated,the,building,Did,evacuate,he evacuated the building,Did he evacuate the building?,13,Yes,No,0,0,True,29
30,word2,leased,neutral,he,context1,"at the dog park, ",1,puppy,"at the dog park, he","at the dog park, he leased the",leased,the,puppy,Did,tease,"at the dog park, he leased the puppy",Did he tease the puppy?,13,Yes,No,0,0,True,30
31,word2_control,erected,neutral,he,context2,"in a forest clearing, ",1,pants,"in a forest clearing, he","in a forest clearing, he erected the",erected,the,pants,Did,patch,"in a forest clearing, he erected the pants",Did he patch the pants?,13,Yes,No,0,0,True,31
32,nonword,sricked,subject1,the careless kid,nocontext,,1,finger,the careless kid,the careless kid sricked his,sricked,his,finger,Did,prick,the careless kid sricked his finger,Did the careless kid prick his finger?,13,Yes,No,0,0,True,32
33,random,oneished,subject2,the editor,nocontext,,1,patient,the editor,the editor oneished the,oneished,the,patient,Did,revive,the editor oneished the patient,Did the editor revive the patient?,13,Yes,No,0,0,True,33
34,word1,skipped,neutral,he,nocontext,,1,class,he,he skipped the,skipped,the,class,Does,skip,he skipped the class,Does he skip the class?,13,Yes,No,0,0,True,34
35,word2,tapped,neutral,he,context1,"after enjoying the meal, ",1,waiter,"after enjoying the meal, he","after enjoying the meal, he tapped the",tapped,the,waiter,Does,tip,"after enjoying the meal, he tapped the waiter",Does he tip the waiter?,13,Yes,No,0,0,True,35
