Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,licked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he licked the",licked,the,ball,Did,kick,"on the playground, he licked the ball",Did he kick the ball?,7,Yes,No,0,0,True,1
2,word2_control,is cooking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is cooking a",is cooking,a,photo,Is,taking,"in the kitchen, he is cooking a photo",Is he taking a photo?,7,Yes,No,0,0,True,2
3,nonword,ient,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman ient his,ient,his,letter,Did,send,the mailman ient his letter,Did the mailman send his letter?,7,Yes,No,0,0,True,3
4,random,phrssed,subject2,the guest,nocontext,,1,song,the guest,the guest phrssed the,phrssed,the,song,Did,sing,the guest phrssed the song,Did the guest sing the song?,7,Yes,No,0,0,True,4
5,word1,is reading,neutral,he,nocontext,,1,book,he,he is reading the,is reading,the,book,Is,reading,he is reading the book,Is he reading the book?,7,Yes,No,0,0,True,5
6,word2,folds,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he folds a",folds,a,meeting,Does,hold,"on the first day after the Christmas holiday, he folds a meeting",Does he hold a meeting?,7,Yes,No,0,0,True,6
7,word2_control,brandishes,neutral,he,context2,"at the football game, ",1,person,"at the football game, he","at the football game, he brandishes a",brandishes,a,person,Did,save,"at the football game, he brandishes a person",Did he save a person?,7,Yes,No,0,0,True,7
8,nonword,is ptcking,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is ptcking the,is ptcking,the,bag,Is,packing,the traveler is ptcking the bag,Is the traveler packing the bag?,7,Yes,No,0,0,True,8
9,random,opssed,subject2,the bored person,nocontext,,1,tank,the bored person,the bored person opssed the,opssed,the,tank,Is,filling,the bored person opssed the tank,Is the bored person filling the tank?,7,Yes,No,0,0,True,9
10,word1,rides,neutral,he,nocontext,,1,bike,he,he rides a,rides,a,bike,Does,ride,he rides a bike,Does he ride a bike?,7,Yes,No,0,0,True,10
11,word2,polls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he polls the",polls,the,door,Does,pull,"at the entrance, he polls the door",Does he pull the door?,7,Yes,No,0,0,True,11
12,word2_control,boiled,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he boiled the",boiled,the,clothes,Did,dry,"in the kitchen, he boiled the clothes",Did he dry the clothes?,7,Yes,No,0,0,True,12
13,nonword,yailed,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student yailed the,yailed,the,exam,Did,fail,the lazy student yailed the exam,Did the lazy student fail the exam?,7,Yes,No,0,0,True,13
14,random,parpassed,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss parpassed the,parpassed,the,lawsuit,Did,file,the angry boss parpassed the lawsuit,Did the angry boss file the lawsuit?,7,Yes,No,0,0,True,14
15,word1,rows,neutral,he,nocontext,,1,boat,he,he rows the,rows,the,boat,Does,row,he rows the boat,Does he row the boat?,7,Yes,No,0,0,True,15
16,word2,sells,neutral,he,context1,"in the brewery, ",1,bottle,"in the brewery, he","in the brewery, he sells the",sells,the,bottle,Does,seal,"in the brewery, he sells the bottle",Does he seal the bottle?,7,Yes,No,0,0,True,16
17,word2_control,vialed,neutral,he,context2,"in the chemistry lab, ",1,enemy,"in the chemistry lab, he","in the chemistry lab, he vialed the",vialed,the,enemy,Did,battle,"in the chemistry lab, he vialed the enemy",Did he battle the enemy?,7,Yes,No,0,0,True,17
18,nonword,oelieved,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person oelieved her,oelieved,her,claim,Did,believe,the gullible person oelieved her claim,Did the gullible person believe her claim?,7,Yes,No,0,0,True,18
19,random,vícgered,subject2,the suspect,nocontext,,1,client,the suspect,the suspect vícgered the,vícgered,the,client,Did,bill,the suspect vícgered the client,Did the suspect bill the client?,7,Yes,No,0,0,True,19
20,word1,cites,neutral,he,nocontext,,1,study,he,he cites the,cites,the,study,Does,cite,he cites the study,Does he cite the study?,7,Yes,No,0,0,True,20
21,word2,attacked,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he attacked the",attacked,the,file,Did,attach,"in the email, he attacked the file",Did he attach the file?,7,Yes,No,0,0,True,21
22,word2_control,cautions,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he cautions a",cautions,a,fortune,Does,earn,"during the march, he cautions a fortune",Does he earn a fortune?,7,Yes,No,0,0,True,22
23,nonword,fumped,subject1,the driver,nocontext,,1,car,the driver,the driver fumped the,fumped,the,car,Does,bump,the driver fumped the car,Does the driver bump the car?,7,Yes,No,0,0,True,23
24,random,afed,subject2,the teacher,nocontext,,1,gene,the teacher,the teacher afed the,afed,the,gene,Did,clone,the teacher afed the gene,Did the teacher clone the gene?,7,Yes,No,0,0,True,24
25,word1,docks,neutral,he,nocontext,,1,boat,he,he docks the,docks,the,boat,Does,dock,he docks the boat,Does he dock the boat?,7,Yes,No,0,0,True,25
26,word2,nominated,neutral,he,context1,"in the final round of the tournament, ",1,game,"in the final round of the tournament, he","in the final round of the tournament, he nominated the",nominated,the,game,Did,dominate,"in the final round of the tournament, he nominated the game",Did he dominate the game?,7,Yes,No,0,0,True,26
27,word2_control,hauls,neutral,he,context2,"on the train platform, ",1,card,"on the train platform, he","on the train platform, he hauls the",hauls,the,card,Does,draw,"on the train platform, he hauls the card",Does he draw the card?,7,Yes,No,0,0,True,27
28,nonword,qrills,subject1,the carpenter,nocontext,,1,wood,the carpenter,the carpenter qrills the,qrills,the,wood,Does,drill,the carpenter qrills the wood,Does the carpenter drill the wood?,7,Yes,No,0,0,True,28
29,random,mulussed,subject2,the professor,nocontext,,1,building,the professor,the professor mulussed the,mulussed,the,building,Did,evacuate,the professor mulussed the building,Did the professor evacuate the building?,7,Yes,No,0,0,True,29
30,word1,teased,neutral,he,nocontext,,1,puppy,he,he teased the,teased,the,puppy,Did,tease,he teased the puppy,Did he tease the puppy?,7,Yes,No,0,0,True,30
31,word2,pitched,neutral,he,context1,"with a sewing machine, ",1,pants,"with a sewing machine, he","with a sewing machine, he pitched the",pitched,the,pants,Did,patch,"with a sewing machine, he pitched the pants",Did he patch the pants?,7,Yes,No,0,0,True,31
32,word2_control,fooled,neutral,he,context2,"in a hide-and-seek game, ",1,finger,"in a hide-and-seek game, he","in a hide-and-seek game, he fooled his",fooled,his,finger,Did,prick,"in a hide-and-seek game, he fooled his finger",Did he prick his finger?,7,Yes,No,0,0,True,32
33,nonword,revijed,subject1,the doctor,nocontext,,1,patient,the doctor,the doctor revijed the,revijed,the,patient,Did,revive,the doctor revijed the patient,Did the doctor revive the patient?,7,Yes,No,0,0,True,33
