item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word1_neutral_context2,kicked,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he kicked the",kicked,the,ball,Did,kick,"in the candy shop, he kicked the ball",Did he kick the ball?,Yes,No,0,0,True,word1_neutral_context2,1,word1,neutral_context2,3
2_word2_subject1_nocontext,is baking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is baking a,is baking,a,photo,Is,taking,the photographer is baking a photo,Is the photographer taking a photo?,Yes,No,0,0,True,word2_subject1_nocontext,2,word2,subject1_nocontext,3
3_word2_control_subject2_nocontext,stretched,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast stretched his,stretched,his,letter,Did,send,the gymnast stretched his letter,Did the gymnast send his letter?,Yes,No,0,0,True,word2_control_subject2_nocontext,3,word2_control,subject2_nocontext,3
4_nonword_neutral_nocontext,eang,neutral,he,nocontext,,1,song,he,he eang the,eang,the,song,Did,sing,he eang the song,Did he sing the song?,Yes,No,0,0,True,nonword_neutral_nocontext,4,nonword,neutral_nocontext,3
5_random_neutral_context1,is sarrging,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is sarrging the",is sarrging,the,book,Is,reading,"in the library, he is sarrging the book",Is he reading the book?,Yes,No,0,0,True,random_neutral_context1,5,random,neutral_context1,3
6_word1_neutral_context2,holds,neutral,he,context2,"at the fashion studio, ",1,meeting,"at the fashion studio, he","at the fashion studio, he holds a",holds,a,meeting,Does,hold,"at the fashion studio, he holds a meeting",Does he hold a meeting?,Yes,No,0,0,True,word1_neutral_context2,6,word1,neutral_context2,3
7_word2_subject1_nocontext,waved,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter waved a,waved,a,person,Did,save,the firefighter waved a person,Did the firefighter save a person?,Yes,No,0,0,True,word2_subject1_nocontext,7,word2,subject1_nocontext,3
8_word2_control_subject2_nocontext,is watering,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is watering the,is watering,the,bag,Is,packing,the gardener is watering the bag,Is the gardener packing the bag?,Yes,No,0,0,True,word2_control_subject2_nocontext,8,word2_control,subject2_nocontext,3
9_nonword_neutral_nocontext,ailled,neutral,he,nocontext,,1,tank,he,he ailled the,ailled,the,tank,Is,filling,he ailled the tank,Is he filling the tank?,Yes,No,0,0,True,nonword_neutral_nocontext,9,nonword,neutral_nocontext,3
10_random_neutral_context1,defigals,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he defigals a",defigals,a,bike,Does,ride,"in the park, he defigals a bike",Does he ride a bike?,Yes,No,0,0,True,random_neutral_context1,10,random,neutral_context1,3
11_word1_neutral_context2,pulls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he pulls the",pulls,the,door,Does,pull,"on a game show, he pulls the door",Does he pull the door?,Yes,No,0,0,True,word1_neutral_context2,11,word1,neutral_context2,3
