Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,licked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth licked the,licked,the,ball,Did,kick,the child with a sweet tooth licked the ball,Did the child with a sweet tooth kick the ball?,10,Yes,No,0,0,True,1
2,word2_control,is cooking,neutral,he,nocontext,,1,photo,he,he is cooking a,is cooking,a,photo,Is,taking,he is cooking a photo,Is he taking a photo?,10,Yes,No,0,0,True,2
3,nonword,ient,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he ient his",ient,his,letter,Did,send,"at the post office, he ient his letter",Did he send his letter?,10,Yes,No,0,0,True,3
4,random,phrssed,neutral,he,context2,"at the hotel front desk, ",1,song,"at the hotel front desk, he","at the hotel front desk, he phrssed the",phrssed,the,song,Did,sing,"at the hotel front desk, he phrssed the song",Did he sing the song?,10,Yes,No,0,0,True,4
5,word1,is reading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is reading the,is reading,the,book,Is,reading,the bookworm is reading the book,Is the bookworm reading the book?,10,Yes,No,0,0,True,5
6,word2,folds,subject2,the tailor,nocontext,,1,meeting,the tailor,the tailor folds a,folds,a,meeting,Does,hold,the tailor folds a meeting,Does the tailor hold a meeting?,10,Yes,No,0,0,True,6
7,word2_control,brandishes,neutral,he,nocontext,,1,person,he,he brandishes a,brandishes,a,person,Did,save,he brandishes a person,Did he save a person?,10,Yes,No,0,0,True,7
8,nonword,is ptcking,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is ptcking the",is ptcking,the,bag,Is,packing,"in the hotel, he is ptcking the bag",Is he packing the bag?,10,Yes,No,0,0,True,8
9,random,opssed,neutral,he,context2,"on the train, ",1,tank,"on the train, he","on the train, he opssed the",opssed,the,tank,Is,filling,"on the train, he opssed the tank",Is he filling the tank?,10,Yes,No,0,0,True,9
10,word1,rides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist rides a,rides,a,bike,Does,ride,the cyclist rides a bike,Does the cyclist ride a bike?,10,Yes,No,0,0,True,10
11,word2,polls,subject2,the host,nocontext,,1,door,the host,the host polls the,polls,the,door,Does,pull,the host polls the door,Does the host pull the door?,10,Yes,No,0,0,True,11
12,word2_control,boiled,neutral,he,nocontext,,1,clothes,he,he boiled the,boiled,the,clothes,Did,dry,he boiled the clothes,Did he dry the clothes?,10,Yes,No,0,0,True,12
13,nonword,yailed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he yailed the",yailed,the,exam,Did,fail,"despite cramming at the last minute, he yailed the exam",Did he fail the exam?,10,Yes,No,0,0,True,13
14,random,parpassed,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he parpassed the",parpassed,the,lawsuit,Did,file,"after three months of losses, he parpassed the lawsuit",Did he file the lawsuit?,10,Yes,No,0,0,True,14
15,word1,rows,subject1,the ferryman,nocontext,,1,boat,the ferryman,the ferryman rows the,rows,the,boat,Does,row,the ferryman rows the boat,Does the ferryman row the boat?,10,Yes,No,0,0,True,15
16,word2,sells,subject2,the vendor,nocontext,,1,bottle,the vendor,the vendor sells the,sells,the,bottle,Does,seal,the vendor sells the bottle,Does the vendor seal the bottle?,10,Yes,No,0,0,True,16
17,word2_control,vialed,neutral,he,nocontext,,1,enemy,he,he vialed the,vialed,the,enemy,Did,battle,he vialed the enemy,Did he battle the enemy?,10,Yes,No,0,0,True,17
18,nonword,oelieved,neutral,he,context1,"after listening to the speech, ",1,claim,"after listening to the speech, he","after listening to the speech, he oelieved her",oelieved,her,claim,Did,believe,"after listening to the speech, he oelieved her claim",Did he believe her claim?,10,Yes,No,0,0,True,18
19,random,vícgered,neutral,he,context2,"in a dark alley, ",1,client,"in a dark alley, he","in a dark alley, he vícgered the",vícgered,the,client,Did,bill,"in a dark alley, he vícgered the client",Did he bill the client?,10,Yes,No,0,0,True,19
20,word1,cites,subject1,the researcher,nocontext,,1,study,the researcher,the researcher cites the,cites,the,study,Does,cite,the researcher cites the study,Does the researcher cite the study?,10,Yes,No,0,0,True,20
