Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,artled,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he artled the",artled,the,ball,Did,kick,"on the playground, he artled the ball",Did he kick the ball?,22,Yes,No,0,0,True,1
2,word1,is taking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is taking a",is taking,a,photo,Is,taking,"in the kitchen, he is taking a photo",Is he taking a photo?,22,Yes,No,0,0,True,2
3,word2,bent,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman bent his,bent,his,letter,Did,send,the mailman bent his letter,Did the mailman send his letter?,22,Yes,No,0,0,True,3
4,word2_control,pressed,subject2,the guest,nocontext,,1,song,the guest,the guest pressed the,pressed,the,song,Did,sing,the guest pressed the song,Did the guest sing the song?,22,Yes,No,0,0,True,4
5,nonword,is zeading,neutral,he,nocontext,,1,book,he,he is zeading the,is zeading,the,book,Is,reading,he is zeading the book,Is he reading the book?,22,Yes,No,0,0,True,5
6,random,galuses,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he galuses a",galuses,a,meeting,Does,hold,"on the first day after the Christmas holiday, he galuses a meeting",Does he hold a meeting?,22,Yes,No,0,0,True,6
7,word1,saved,neutral,he,context2,"at the football game, ",1,person,"at the football game, he","at the football game, he saved a",saved,a,person,Did,save,"at the football game, he saved a person",Did he save a person?,22,Yes,No,0,0,True,7
8,word2,is picking,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is picking the,is picking,the,bag,Is,packing,the traveler is picking the bag,Is the traveler packing the bag?,22,Yes,No,0,0,True,8
9,word2_control,passed,subject2,the bored person,nocontext,,1,tank,the bored person,the bored person passed the,passed,the,tank,Is,filling,the bored person passed the tank,Is the bored person filling the tank?,22,Yes,No,0,0,True,9
10,nonword,iides,neutral,he,nocontext,,1,bike,he,he iides a,iides,a,bike,Does,ride,he iides a bike,Does he ride a bike?,22,Yes,No,0,0,True,10
