item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word1_neutral_nocontext,kicked,neutral,he,nocontext,,1,ball,he,he kicked the,kicked,the,ball,Did,kick,he kicked the ball,Did he kick the ball?,Yes,No,0,0,True,word1_neutral_nocontext,1,word1,neutral_nocontext,1
2_word2_neutral_context1,is baking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is baking a",is baking,a,photo,Is,taking,"in the film studio, he is baking a photo",Is he taking a photo?,Yes,No,0,0,True,word2_neutral_context1,2,word2,neutral_context1,1
3_word2_control_neutral_context2,stretched,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he stretched his",stretched,his,letter,Did,send,"in the dance studio, he stretched his letter",Did he send his letter?,Yes,No,0,0,True,word2_control_neutral_context2,3,word2_control,neutral_context2,1
4_nonword_subject1_nocontext,eang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour eang the,eang,the,song,Did,sing,the troubadour eang the song,Did the troubadour sing the song?,Yes,No,0,0,True,nonword_subject1_nocontext,4,nonword,subject1_nocontext,1
5_random_subject2_nocontext,is sarrging,subject2,the coach,nocontext,,1,book,the coach,the coach is sarrging the,is sarrging,the,book,Is,reading,the coach is sarrging the book,Is the coach reading the book?,Yes,No,0,0,True,random_subject2_nocontext,5,random,subject2_nocontext,1
6_word1_neutral_nocontext,holds,neutral,he,nocontext,,1,meeting,he,he holds a,holds,a,meeting,Does,hold,he holds a meeting,Does he hold a meeting?,Yes,No,0,0,True,word1_neutral_nocontext,6,word1,neutral_nocontext,1
7_word2_neutral_context1,waved,neutral,he,context1,"from the burning house, ",1,person,"from the burning house, he","from the burning house, he waved a",waved,a,person,Did,save,"from the burning house, he waved a person",Did he save a person?,Yes,No,0,0,True,word2_neutral_context1,7,word2,neutral_context1,1
8_word2_control_neutral_context2,is watering,neutral,he,context2,"in the greenhouse, ",1,bag,"in the greenhouse, he","in the greenhouse, he is watering the",is watering,the,bag,Is,packing,"in the greenhouse, he is watering the bag",Is he packing the bag?,Yes,No,0,0,True,word2_control_neutral_context2,8,word2_control,neutral_context2,1
9_nonword_subject1_nocontext,ailled,subject1,the driver,nocontext,,1,tank,the driver,the driver ailled the,ailled,the,tank,Is,filling,the driver ailled the tank,Is the driver filling the tank?,Yes,No,0,0,True,nonword_subject1_nocontext,9,nonword,subject1_nocontext,1
10_random_subject2_nocontext,defigals,subject2,the spy,nocontext,,1,bike,the spy,the spy defigals a,defigals,a,bike,Does,ride,the spy defigals a bike,Does the spy ride a bike?,Yes,No,0,0,True,random_subject2_nocontext,10,random,subject2_nocontext,1
11_word1_neutral_nocontext,pulls,neutral,he,nocontext,,1,door,he,he pulls the,pulls,the,door,Does,pull,he pulls the door,Does he pull the door?,Yes,No,0,0,True,word1_neutral_nocontext,11,word1,neutral_nocontext,1
12_word2_neutral_context1,fried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he fried the",fried,the,clothes,Did,dry,"in the laundry room, he fried the clothes",Did he dry the clothes?,Yes,No,0,0,True,word2_neutral_context1,12,word2,neutral_context1,1
13_word2_control_neutral_context2,posted,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he posted the",posted,the,exam,Did,fail,"at the postal service desk, he posted the exam",Did he fail the exam?,Yes,No,0,0,True,word2_control_neutral_context2,13,word2_control,neutral_context2,1
14_nonword_subject1_nocontext,fiped,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team fiped the,fiped,the,lawsuit,Did,file,the legal team fiped the lawsuit,Did the legal team file the lawsuit?,Yes,No,0,0,True,nonword_subject1_nocontext,14,nonword,subject1_nocontext,1
15_random_subject2_nocontext,hamnts,subject2,the farmer,nocontext,,1,boat,the farmer,the farmer hamnts the,hamnts,the,boat,Does,row,the farmer hamnts the boat,Does the farmer row the boat?,Yes,No,0,0,True,random_subject2_nocontext,15,random,subject2_nocontext,1
16_word1_neutral_nocontext,seals,neutral,he,nocontext,,1,bottle,he,he seals the,seals,the,bottle,Does,seal,he seals the bottle,Does he seal the bottle?,Yes,No,0,0,True,word1_neutral_nocontext,16,word1,neutral_nocontext,1
17_word2_neutral_context1,bottled,neutral,he,context1,"surrounded by gunfire, ",1,enemy,"surrounded by gunfire, he","surrounded by gunfire, he bottled the",bottled,the,enemy,Did,battle,"surrounded by gunfire, he bottled the enemy",Did he battle the enemy?,Yes,No,0,0,True,word2_neutral_context1,17,word2,neutral_context1,1
18_word2_control_neutral_context2,reduced,neutral,he,context2,"in the clinic, ",1,claim,"in the clinic, he","in the clinic, he reduced her",reduced,her,claim,Did,believe,"in the clinic, he reduced her claim",Did he believe her claim?,Yes,No,0,0,True,word2_control_neutral_context2,18,word2_control,neutral_context2,1
19_nonword_subject1_nocontext,jilled,subject1,the counselor,nocontext,,1,client,the counselor,the counselor jilled the,jilled,the,client,Did,bill,the counselor jilled the client,Did the counselor bill the client?,Yes,No,0,0,True,nonword_subject1_nocontext,19,nonword,subject1_nocontext,1
20_random_subject2_nocontext,tutches,subject2,the hungry man,nocontext,,1,study,the hungry man,the hungry man tutches the,tutches,the,study,Does,cite,the hungry man tutches the study,Does the hungry man cite the study?,Yes,No,0,0,True,random_subject2_nocontext,20,random,subject2_nocontext,1
21_word1_neutral_nocontext,attached,neutral,he,nocontext,,1,file,he,he attached the,attached,the,file,Did,attach,he attached the file,Did he attach the file?,Yes,No,0,0,True,word1_neutral_nocontext,21,word1,neutral_nocontext,1
22_word2_neutral_context1,warns,neutral,he,context1,"because of the good economic situation, ",1,fortune,"because of the good economic situation, he","because of the good economic situation, he warns a",warns,a,fortune,Does,earn,"because of the good economic situation, he warns a fortune",Does he earn a fortune?,Yes,No,0,0,True,word2_neutral_context1,22,word2,neutral_context1,1
