item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word2_subject1_nocontext,licked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player licked the,licked,the,ball,Did,kick,the soccer player licked the ball,Did the soccer player kick the ball?,Yes,No,0,0,True,word2_subject1_nocontext,1,word2,subject1_nocontext,9
2_word2_control_subject2_nocontext,is cooking,subject2,the pastry chef,nocontext,,1,photo,the pastry chef,the pastry chef is cooking a,is cooking,a,photo,Is,taking,the pastry chef is cooking a photo,Is the pastry chef taking a photo?,Yes,No,0,0,True,word2_control_subject2_nocontext,2,word2_control,subject2_nocontext,9
3_nonword_neutral_nocontext,ient,neutral,he,nocontext,,1,letter,he,he ient his,ient,his,letter,Did,send,he ient his letter,Did he send his letter?,Yes,No,0,0,True,nonword_neutral_nocontext,3,nonword,neutral_nocontext,9
4_random_neutral_context1,phrssed,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he phrssed the",phrssed,the,song,Did,sing,"on the stage in the tavern, he phrssed the song",Did he sing the song?,Yes,No,0,0,True,random_neutral_context1,4,random,neutral_context1,9
5_word1_neutral_context2,is reading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is reading the",is reading,the,book,Is,reading,"after the manager resigned, he is reading the book",Is he reading the book?,Yes,No,0,0,True,word1_neutral_context2,5,word1,neutral_context2,9
6_word2_subject1_nocontext,folds,subject1,the manager,nocontext,,1,meeting,the manager,the manager folds a,folds,a,meeting,Does,hold,the manager folds a meeting,Does the manager hold a meeting?,Yes,No,0,0,True,word2_subject1_nocontext,6,word2,subject1_nocontext,9
7_word2_control_subject2_nocontext,brandishes,subject2,the spectator,nocontext,,1,person,the spectator,the spectator brandishes a,brandishes,a,person,Did,save,the spectator brandishes a person,Did the spectator save a person?,Yes,No,0,0,True,word2_control_subject2_nocontext,7,word2_control,subject2_nocontext,9
8_nonword_neutral_nocontext,is ptcking,neutral,he,nocontext,,1,bag,he,he is ptcking the,is ptcking,the,bag,Is,packing,he is ptcking the bag,Is he packing the bag?,Yes,No,0,0,True,nonword_neutral_nocontext,8,nonword,neutral_nocontext,9
9_random_neutral_context1,opssed,neutral,he,context1,"before a road trip, ",1,tank,"before a road trip, he","before a road trip, he opssed the",opssed,the,tank,Is,filling,"before a road trip, he opssed the tank",Is he filling the tank?,Yes,No,0,0,True,random_neutral_context1,9,random,neutral_context1,9
10_word1_neutral_context2,rides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he rides a",rides,a,bike,Does,ride,"on a mission, he rides a bike",Does he ride a bike?,Yes,No,0,0,True,word1_neutral_context2,10,word1,neutral_context2,9
11_word2_subject1_nocontext,polls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor polls the,polls,the,door,Does,pull,the visitor polls the door,Does the visitor pull the door?,Yes,No,0,0,True,word2_subject1_nocontext,11,word2,subject1_nocontext,9
12_word2_control_subject2_nocontext,boiled,subject2,the cook,nocontext,,1,clothes,the cook,the cook boiled the,boiled,the,clothes,Did,dry,the cook boiled the clothes,Did the cook dry the clothes?,Yes,No,0,0,True,word2_control_subject2_nocontext,12,word2_control,subject2_nocontext,9
13_nonword_neutral_nocontext,yailed,neutral,he,nocontext,,1,exam,he,he yailed the,yailed,the,exam,Did,fail,he yailed the exam,Did he fail the exam?,Yes,No,0,0,True,nonword_neutral_nocontext,13,nonword,neutral_nocontext,9
14_random_neutral_context1,parpassed,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he parpassed the",parpassed,the,lawsuit,Did,file,"after negotiation failed, he parpassed the lawsuit",Did he file the lawsuit?,Yes,No,0,0,True,random_neutral_context1,14,random,neutral_context1,9
