Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,licked,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he licked the",licked,the,ball,Did,kick,"in the candy shop, he licked the ball",Did he kick the ball?,8,Yes,No,0,0,True,1
2,word2_control,is cooking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is cooking a,is cooking,a,photo,Is,taking,the photographer is cooking a photo,Is the photographer taking a photo?,8,Yes,No,0,0,True,2
3,nonword,ient,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast ient his,ient,his,letter,Did,send,the gymnast ient his letter,Did the gymnast send his letter?,8,Yes,No,0,0,True,3
4,random,phrssed,neutral,he,nocontext,,1,song,he,he phrssed the,phrssed,the,song,Did,sing,he phrssed the song,Did he sing the song?,8,Yes,No,0,0,True,4
5,word1,is reading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is reading the",is reading,the,book,Is,reading,"in the library, he is reading the book",Is he reading the book?,8,Yes,No,0,0,True,5
6,word2,folds,neutral,he,context2,"at the fashion studio, ",1,meeting,"at the fashion studio, he","at the fashion studio, he folds a",folds,a,meeting,Does,hold,"at the fashion studio, he folds a meeting",Does he hold a meeting?,8,Yes,No,0,0,True,6
7,word2_control,brandishes,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter brandishes a,brandishes,a,person,Did,save,the firefighter brandishes a person,Did the firefighter save a person?,8,Yes,No,0,0,True,7
8,nonword,is ptcking,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is ptcking the,is ptcking,the,bag,Is,packing,the gardener is ptcking the bag,Is the gardener packing the bag?,8,Yes,No,0,0,True,8
9,random,opssed,neutral,he,nocontext,,1,tank,he,he opssed the,opssed,the,tank,Is,filling,he opssed the tank,Is he filling the tank?,8,Yes,No,0,0,True,9
10,word1,rides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he rides a",rides,a,bike,Does,ride,"in the park, he rides a bike",Does he ride a bike?,8,Yes,No,0,0,True,10
11,word2,polls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he polls the",polls,the,door,Does,pull,"on a game show, he polls the door",Does he pull the door?,8,Yes,No,0,0,True,11
12,word2_control,boiled,subject1,the maid,nocontext,,1,clothes,the maid,the maid boiled the,boiled,the,clothes,Did,dry,the maid boiled the clothes,Did the maid dry the clothes?,8,Yes,No,0,0,True,12
13,nonword,yailed,subject2,the sender,nocontext,,1,exam,the sender,the sender yailed the,yailed,the,exam,Did,fail,the sender yailed the exam,Did the sender fail the exam?,8,Yes,No,0,0,True,13
14,random,parpassed,neutral,he,nocontext,,1,lawsuit,he,he parpassed the,parpassed,the,lawsuit,Did,file,he parpassed the lawsuit,Did he file the lawsuit?,8,Yes,No,0,0,True,14
15,word1,rows,neutral,he,context1,"on the river, ",1,boat,"on the river, he","on the river, he rows the",rows,the,boat,Does,row,"on the river, he rows the boat",Does he row the boat?,8,Yes,No,0,0,True,15
16,word2,sells,neutral,he,context2,"at the market, ",1,bottle,"at the market, he","at the market, he sells the",sells,the,bottle,Does,seal,"at the market, he sells the bottle",Does he seal the bottle?,8,Yes,No,0,0,True,16
17,word2_control,vialed,subject1,the soldier,nocontext,,1,enemy,the soldier,the soldier vialed the,vialed,the,enemy,Did,battle,the soldier vialed the enemy,Did the soldier battle the enemy?,8,Yes,No,0,0,True,17
18,nonword,oelieved,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist oelieved her,oelieved,her,claim,Did,believe,the therapist oelieved her claim,Did the therapist believe her claim?,8,Yes,No,0,0,True,18
19,random,vícgered,neutral,he,nocontext,,1,client,he,he vícgered the,vícgered,the,client,Did,bill,he vícgered the client,Did he bill the client?,8,Yes,No,0,0,True,19
20,word1,cites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he cites the",cites,the,study,Does,cite,"when writing a paper, he cites the study",Does he cite the study?,8,Yes,No,0,0,True,20
21,word2,attacked,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he attacked the",attacked,the,file,Did,attach,"in the battlefield, he attacked the file",Did he attach the file?,8,Yes,No,0,0,True,21
22,word2_control,cautions,subject1,the investor,nocontext,,1,fortune,the investor,the investor cautions a,cautions,a,fortune,Does,earn,the investor cautions a fortune,Does the investor earn a fortune?,8,Yes,No,0,0,True,22
23,nonword,fumped,subject2,the cleaner,nocontext,,1,car,the cleaner,the cleaner fumped the,fumped,the,car,Does,bump,the cleaner fumped the car,Does the cleaner bump the car?,8,Yes,No,0,0,True,23
24,random,afed,neutral,he,nocontext,,1,gene,he,he afed the,afed,the,gene,Did,clone,he afed the gene,Did he clone the gene?,8,Yes,No,0,0,True,24
25,word1,docks,neutral,he,context1,"at the harbor, ",1,boat,"at the harbor, he","at the harbor, he docks the",docks,the,boat,Does,dock,"at the harbor, he docks the boat",Does he dock the boat?,8,Yes,No,0,0,True,25
26,word2,nominated,neutral,he,context2,"at the board meeting, ",1,game,"at the board meeting, he","at the board meeting, he nominated the",nominated,the,game,Did,dominate,"at the board meeting, he nominated the game",Did he dominate the game?,8,Yes,No,0,0,True,26
