item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_nonword_neutral_context1,aicked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he aicked the",aicked,the,ball,Did,kick,"on the playground, he aicked the ball",Did he kick the ball?,Yes,No,0,0,True,nonword_neutral_context1,1,nonword,neutral_context1,17
2_random_neutral_context2,is ploking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is ploking a",is ploking,a,photo,Is,taking,"in the kitchen, he is ploking a photo",Is he taking a photo?,Yes,No,0,0,True,random_neutral_context2,2,random,neutral_context2,17
3_word1_subject1_nocontext,sent,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman sent his,sent,his,letter,Did,send,the mailman sent his letter,Did the mailman send his letter?,Yes,No,0,0,True,word1_subject1_nocontext,3,word1,subject1_nocontext,17
4_word2_subject2_nocontext,rang,subject2,the guest,nocontext,,1,song,the guest,the guest rang the,rang,the,song,Did,sing,the guest rang the song,Did the guest sing the song?,Yes,No,0,0,True,word2_subject2_nocontext,4,word2,subject2_nocontext,17
5_word2_control_neutral_nocontext,is managing,neutral,he,nocontext,,1,book,he,he is managing the,is managing,the,book,Is,reading,he is managing the book,Is he reading the book?,Yes,No,0,0,True,word2_control_neutral_nocontext,5,word2_control,neutral_nocontext,17
6_nonword_neutral_context1,dolds,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he dolds a",dolds,a,meeting,Does,hold,"on the first day after the Christmas holiday, he dolds a meeting",Does he hold a meeting?,Yes,No,0,0,True,nonword_neutral_context1,6,nonword,neutral_context1,17
7_random_neutral_context2,sikarushes,neutral,he,context2,"at the football game, ",1,person,"at the football game, he","at the football game, he sikarushes a",sikarushes,a,person,Did,save,"at the football game, he sikarushes a person",Did he save a person?,Yes,No,0,0,True,random_neutral_context2,7,random,neutral_context2,17
8_word1_subject1_nocontext,is packing,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is packing the,is packing,the,bag,Is,packing,the traveler is packing the bag,Is the traveler packing the bag?,Yes,No,0,0,True,word1_subject1_nocontext,8,word1,subject1_nocontext,17
9_word2_subject2_nocontext,killed,subject2,the bored person,nocontext,,1,tank,the bored person,the bored person killed the,killed,the,tank,Is,filling,the bored person killed the tank,Is the bored person filling the tank?,Yes,No,0,0,True,word2_subject2_nocontext,9,word2,subject2_nocontext,17
10_word2_control_neutral_nocontext,conceals,neutral,he,nocontext,,1,bike,he,he conceals a,conceals,a,bike,Does,ride,he conceals a bike,Does he ride a bike?,Yes,No,0,0,True,word2_control_neutral_nocontext,10,word2_control,neutral_nocontext,17
11_nonword_neutral_context1,prlls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he prlls the",prlls,the,door,Does,pull,"at the entrance, he prlls the door",Does he pull the door?,Yes,No,0,0,True,nonword_neutral_context1,11,nonword,neutral_context1,17
12_random_neutral_context2,usiled,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he usiled the",usiled,the,clothes,Did,dry,"in the kitchen, he usiled the clothes",Did he dry the clothes?,Yes,No,0,0,True,random_neutral_context2,12,random,neutral_context2,17
13_word1_subject1_nocontext,failed,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student failed the,failed,the,exam,Did,fail,the lazy student failed the exam,Did the lazy student fail the exam?,Yes,No,0,0,True,word1_subject1_nocontext,13,word1,subject1_nocontext,17
14_word2_subject2_nocontext,fired,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss fired the,fired,the,lawsuit,Did,file,the angry boss fired the lawsuit,Did the angry boss file the lawsuit?,Yes,No,0,0,True,word2_subject2_nocontext,14,word2,subject2_nocontext,17
15_word2_control_neutral_nocontext,plants,neutral,he,nocontext,,1,boat,he,he plants the,plants,the,boat,Does,row,he plants the boat,Does he row the boat?,Yes,No,0,0,True,word2_control_neutral_nocontext,15,word2_control,neutral_nocontext,17
16_nonword_neutral_context1,segls,neutral,he,context1,"in the brewery, ",1,bottle,"in the brewery, he","in the brewery, he segls the",segls,the,bottle,Does,seal,"in the brewery, he segls the bottle",Does he seal the bottle?,Yes,No,0,0,True,nonword_neutral_context1,16,nonword,neutral_context1,17
17_random_neutral_context2,gpaled,neutral,he,context2,"in the chemistry lab, ",1,enemy,"in the chemistry lab, he","in the chemistry lab, he gpaled the",gpaled,the,enemy,Did,battle,"in the chemistry lab, he gpaled the enemy",Did he battle the enemy?,Yes,No,0,0,True,random_neutral_context2,17,random,neutral_context2,17
18_word1_subject1_nocontext,believed,subject1,the gullible person,nocontext,,1,claim,the gullible person,the gullible person believed her,believed,her,claim,Did,believe,the gullible person believed her claim,Did the gullible person believe her claim?,Yes,No,0,0,True,word1_subject1_nocontext,18,word1,subject1_nocontext,17
19_word2_subject2_nocontext,killed,subject2,the suspect,nocontext,,1,client,the suspect,the suspect killed the,killed,the,client,Did,bill,the suspect killed the client,Did the suspect bill the client?,Yes,No,0,0,True,word2_subject2_nocontext,19,word2,subject2_nocontext,17
20_word2_control_neutral_nocontext,munches,neutral,he,nocontext,,1,study,he,he munches the,munches,the,study,Does,cite,he munches the study,Does he cite the study?,Yes,No,0,0,True,word2_control_neutral_nocontext,20,word2_control,neutral_nocontext,17
21_nonword_neutral_context1,attacmed,neutral,he,context1,"in the email, ",1,file,"in the email, he","in the email, he attacmed the",attacmed,the,file,Did,attach,"in the email, he attacmed the file",Did he attach the file?,Yes,No,0,0,True,nonword_neutral_context1,21,nonword,neutral_context1,17
22_random_neutral_context2,tenrrons,neutral,he,context2,"during the march, ",1,fortune,"during the march, he","during the march, he tenrrons a",tenrrons,a,fortune,Does,earn,"during the march, he tenrrons a fortune",Does he earn a fortune?,Yes,No,0,0,True,random_neutral_context2,22,random,neutral_context2,17
23_word1_subject1_nocontext,bumped,subject1,the driver,nocontext,,1,car,the driver,the driver bumped the,bumped,the,car,Does,bump,the driver bumped the car,Does the driver bump the car?,Yes,No,0,0,True,word1_subject1_nocontext,23,word1,subject1_nocontext,17
