Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,artled,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he artled the",artled,the,ball,Did,kick,"in the candy shop, he artled the ball",Did he kick the ball?,23,Yes,No,0,0,True,1
2,word1,is taking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is taking a,is taking,a,photo,Is,taking,the photographer is taking a photo,Is the photographer taking a photo?,23,Yes,No,0,0,True,2
3,word2,bent,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast bent his,bent,his,letter,Did,send,the gymnast bent his letter,Did the gymnast send his letter?,23,Yes,No,0,0,True,3
4,word2_control,pressed,neutral,he,nocontext,,1,song,he,he pressed the,pressed,the,song,Did,sing,he pressed the song,Did he sing the song?,23,Yes,No,0,0,True,4
5,nonword,is zeading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is zeading the",is zeading,the,book,Is,reading,"in the library, he is zeading the book",Is he reading the book?,23,Yes,No,0,0,True,5
6,random,galuses,neutral,he,context2,"at the fashion studio, ",1,meeting,"at the fashion studio, he","at the fashion studio, he galuses a",galuses,a,meeting,Does,hold,"at the fashion studio, he galuses a meeting",Does he hold a meeting?,23,Yes,No,0,0,True,6
7,word1,saved,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter saved a,saved,a,person,Did,save,the firefighter saved a person,Did the firefighter save a person?,23,Yes,No,0,0,True,7
8,word2,is picking,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is picking the,is picking,the,bag,Is,packing,the gardener is picking the bag,Is the gardener packing the bag?,23,Yes,No,0,0,True,8
9,word2_control,passed,neutral,he,nocontext,,1,tank,he,he passed the,passed,the,tank,Is,filling,he passed the tank,Is he filling the tank?,23,Yes,No,0,0,True,9
10,nonword,iides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he iides a",iides,a,bike,Does,ride,"in the park, he iides a bike",Does he ride a bike?,23,Yes,No,0,0,True,10
11,random,phrneys,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he phrneys the",phrneys,the,door,Does,pull,"on a game show, he phrneys the door",Does he pull the door?,23,Yes,No,0,0,True,11
12,word1,dried,subject1,the maid,nocontext,,1,clothes,the maid,the maid dried the,dried,the,clothes,Did,dry,the maid dried the clothes,Did the maid dry the clothes?,23,Yes,No,0,0,True,12
13,word2,mailed,subject2,the sender,nocontext,,1,exam,the sender,the sender mailed the,mailed,the,exam,Did,fail,the sender mailed the exam,Did the sender fail the exam?,23,Yes,No,0,0,True,13
14,word2_control,dismissed,neutral,he,nocontext,,1,lawsuit,he,he dismissed the,dismissed,the,lawsuit,Did,file,he dismissed the lawsuit,Did he file the lawsuit?,23,Yes,No,0,0,True,14
15,nonword,aows,neutral,he,context1,"on the river, ",1,boat,"on the river, he","on the river, he aows the",aows,the,boat,Does,row,"on the river, he aows the boat",Does he row the boat?,23,Yes,No,0,0,True,15
16,random,nokers,neutral,he,context2,"at the market, ",1,bottle,"at the market, he","at the market, he nokers the",nokers,the,bottle,Does,seal,"at the market, he nokers the bottle",Does he seal the bottle?,23,Yes,No,0,0,True,16
17,word1,battled,subject1,the soldier,nocontext,,1,enemy,the soldier,the soldier battled the,battled,the,enemy,Did,battle,the soldier battled the enemy,Did the soldier battle the enemy?,23,Yes,No,0,0,True,17
18,word2,relieved,subject2,the therapist,nocontext,,1,claim,the therapist,the therapist relieved her,relieved,her,claim,Did,believe,the therapist relieved her claim,Did the therapist believe her claim?,23,Yes,No,0,0,True,18
19,word2_control,murdered,neutral,he,nocontext,,1,client,he,he murdered the,murdered,the,client,Did,bill,he murdered the client,Did he bill the client?,23,Yes,No,0,0,True,19
20,nonword,iites,neutral,he,context1,"when writing a paper, ",1,study,"when writing a paper, he","when writing a paper, he iites the",iites,the,study,Does,cite,"when writing a paper, he iites the study",Does he cite the study?,23,Yes,No,0,0,True,20
21,random,kapsed,neutral,he,context2,"in the battlefield, ",1,file,"in the battlefield, he","in the battlefield, he kapsed the",kapsed,the,file,Did,attach,"in the battlefield, he kapsed the file",Did he attach the file?,23,Yes,No,0,0,True,21
22,word1,earns,subject1,the investor,nocontext,,1,fortune,the investor,the investor earns a,earns,a,fortune,Does,earn,the investor earns a fortune,Does the investor earn a fortune?,23,Yes,No,0,0,True,22
23,word2,dumped,subject2,the cleaner,nocontext,,1,car,the cleaner,the cleaner dumped the,dumped,the,car,Does,bump,the cleaner dumped the car,Does the cleaner bump the car?,23,Yes,No,0,0,True,23
24,word2_control,shut,neutral,he,nocontext,,1,gene,he,he shut the,shut,the,gene,Did,clone,he shut the gene,Did he clone the gene?,23,Yes,No,0,0,True,24
25,nonword,vocks,neutral,he,context1,"at the harbor, ",1,boat,"at the harbor, he","at the harbor, he vocks the",vocks,the,boat,Does,dock,"at the harbor, he vocks the boat",Does he dock the boat?,23,Yes,No,0,0,True,25
26,random,prizstanded,neutral,he,context2,"at the board meeting, ",1,game,"at the board meeting, he","at the board meeting, he prizstanded the",prizstanded,the,game,Did,dominate,"at the board meeting, he prizstanded the game",Did he dominate the game?,23,Yes,No,0,0,True,26
27,word1,draws,subject1,the player,nocontext,,1,card,the player,the player draws the,draws,the,card,Does,draw,the player draws the card,Does the player draw the card?,23,Yes,No,0,0,True,27
28,word2,grills,subject2,the chef,nocontext,,1,wood,the chef,the chef grills the,grills,the,wood,Does,drill,the chef grills the wood,Does the chef drill the wood?,23,Yes,No,0,0,True,28
29,word2_control,assessed,neutral,he,nocontext,,1,building,he,he assessed the,assessed,the,building,Did,evacuate,he assessed the building,Did he evacuate the building?,23,Yes,No,0,0,True,29
30,nonword,deased,neutral,he,context1,"at the dog park, ",1,puppy,"at the dog park, he","at the dog park, he deased the",deased,the,puppy,Did,tease,"at the dog park, he deased the puppy",Did he tease the puppy?,23,Yes,No,0,0,True,30
31,random,jabcted,neutral,he,context2,"in a forest clearing, ",1,pants,"in a forest clearing, he","in a forest clearing, he jabcted the",jabcted,the,pants,Did,patch,"in a forest clearing, he jabcted the pants",Did he patch the pants?,23,Yes,No,0,0,True,31
32,word1,pricked,subject1,the careless kid,nocontext,,1,finger,the careless kid,the careless kid pricked his,pricked,his,finger,Did,prick,the careless kid pricked his finger,Did the careless kid prick his finger?,23,Yes,No,0,0,True,32
33,word2,revised,subject2,the editor,nocontext,,1,patient,the editor,the editor revised the,revised,the,patient,Did,revive,the editor revised the patient,Did the editor revive the patient?,23,Yes,No,0,0,True,33
34,word2_control,sends,neutral,he,nocontext,,1,class,he,he sends the,sends,the,class,Does,skip,he sends the class,Does he skip the class?,23,Yes,No,0,0,True,34
35,nonword,tnpped,neutral,he,context1,"after enjoying the meal, ",1,waiter,"after enjoying the meal, he","after enjoying the meal, he tnpped the",tnpped,the,waiter,Does,tip,"after enjoying the meal, he tnpped the waiter",Does he tip the waiter?,23,Yes,No,0,0,True,35
