item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word2_control_neutral_context1,tasted,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he tasted the",tasted,the,ball,Did,kick,"on the playground, he tasted the ball",Did he kick the ball?,Yes,No,0,0,True,word2_control_neutral_context1,1,word2_control,neutral_context1,12
2_nonword_neutral_context2,is zaking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is zaking a",is zaking,a,photo,Is,taking,"in the kitchen, he is zaking a photo",Is he taking a photo?,Yes,No,0,0,True,nonword_neutral_context2,2,nonword,neutral_context2,12
3_random_subject1_nocontext,lunriched,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman lunriched his,lunriched,his,letter,Did,send,the mailman lunriched his letter,Did the mailman send his letter?,Yes,No,0,0,True,random_subject1_nocontext,3,random,subject1_nocontext,12
4_word1_subject2_nocontext,sang,subject2,the guest,nocontext,,1,song,the guest,the guest sang the,sang,the,song,Did,sing,the guest sang the song,Did the guest sing the song?,Yes,No,0,0,True,word1_subject2_nocontext,4,word1,subject2_nocontext,12
5_word2_neutral_nocontext,is leading,neutral,he,nocontext,,1,book,he,he is leading the,is leading,the,book,Is,reading,he is leading the book,Is he reading the book?,Yes,No,0,0,True,word2_neutral_nocontext,5,word2,neutral_nocontext,12
6_word2_control_neutral_context1,creases,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he creases a",creases,a,meeting,Does,hold,"on the first day after the Christmas holiday, he creases a meeting",Does he hold a meeting?,Yes,No,0,0,True,word2_control_neutral_context1,6,word2_control,neutral_context1,12
7_nonword_neutral_context2,xaved,neutral,he,context2,"at the football game, ",1,person,"at the football game, he","at the football game, he xaved a",xaved,a,person,Did,save,"at the football game, he xaved a person",Did he save a person?,Yes,No,0,0,True,nonword_neutral_context2,7,nonword,neutral_context2,12
8_random_subject1_nocontext,is thbering,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is thbering the,is thbering,the,bag,Is,packing,the traveler is thbering the bag,Is the traveler packing the bag?,Yes,No,0,0,True,random_subject1_nocontext,8,random,subject1_nocontext,12
9_word1_subject2_nocontext,filled,subject2,the bored person,nocontext,,1,tank,the bored person,the bored person filled the,filled,the,tank,Is,filling,the bored person filled the tank,Is the bored person filling the tank?,Yes,No,0,0,True,word1_subject2_nocontext,9,word1,subject2_nocontext,12
10_word2_neutral_nocontext,hides,neutral,he,nocontext,,1,bike,he,he hides a,hides,a,bike,Does,ride,he hides a bike,Does he ride a bike?,Yes,No,0,0,True,word2_neutral_nocontext,10,word2,neutral_nocontext,12
11_word2_control_neutral_context1,surveys,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he surveys the",surveys,the,door,Does,pull,"at the entrance, he surveys the door",Does he pull the door?,Yes,No,0,0,True,word2_control_neutral_context1,11,word2_control,neutral_context1,12
